HarvestYear,ID2,Longitude,Latitude,SampleID,Crop,Comments,QCCoverage,QCFlags,CropExists,GrainMoisture,GrainProtein,GrainStarch,GrainGluten,GrainOil,GrainTestWeight,GrainCarbon,GrainNitrogen,GrainSulfur,ResidueCarbon,ResidueNitrogen,ResidueSulfur,GrainYieldWet,GrainYieldAirDry,ResidueMassWetPerArea,ResidueMassAirDryPerArea
1999,1,-117.087514,46.778729,1999_1,SW,,100,0,1,,,,,,,44.06,2.387,0.1919,44.1,0.44,0.06,229.0846457,220.8366142,339.6653543,320.7688117
1999,2,-117.0870646,46.77869163,1999_2,SW,,100,0,1,,,,,,,45.26,2.602,0.2053,43.3,0.45,0.07,251.9192913,242.7362205,414.9606299,391.4944303
1999,3,-117.086678,46.778791,1999_3,SW,,100,0,1,,,,,,,44.52,2.489,0.19,43.38,0.41,0.08,266.7814961,255.3444882,384.7440945,366.3658719
1999,4,-117.08626,46.778761,1999_4,SW,,100,0,1,,,,,,,44.64,2.432,0.18,43.41,0.29,0.06,300.1968504,289.1781496,430.019685,408.8904194
1999,5,-117.085842,46.778666,1999_5,SW,,100,0,1,,,,,,,44.27,2.599,0.1874,40.93,0.43,0.07,353.3956693,341.5206693,493.011811,466.3200888
1999,6,-117.0854188,46.77877321,1999_6,SW,,100,0,1,,,,,,,42.84,2.33,0.1761,40.46,0.38,0.06,266.5846457,256.9931102,378.0511811,358.0367068
1999,7,-117.085006,46.778632,1999_7,SW,,100,0,1,,,,,,,42.3,2.525,0.1825,40.15,0.46,0.08,315.0590551,303.6220472,371.8503937,352.922696
1999,8,-117.084588,46.778721,1999_8,SW,,100,0,1,,,,,,,41.98,2.177,0.1713,44.1,0.32,0.06,190.4035433,183.4891732,321.7027559,306.7321003
1999,9,-117.08417,46.778674,1999_9,SW,,100,0,1,,,,,,,41.32,2.357,0.1807,43.37,0.36,0.08,244.488189,235.6496063,493.8976378,467.372523
1999,10,-117.083752,46.778737,1999_10,SW,,100,0,1,,,,,,,42.07,2.424,0.1853,43.74,0.5,0.08,230.3149606,221.8848425,369.7834646,349.8208611
1999,11,-117.083334,46.778658,1999_11,SW,,100,0,1,,,,,,,41.72,2.406,0.1831,43.21,0.69,0.11,250.0492126,240.8169291,366.3385827,341.8834036
1999,12,-117.0829398,46.77873108,1999_12,SW,,100,0,1,,,,,,,42.84,2.526,0.1856,44.32,0.4,0.07,250.0492126,239.9212598,382.9232283,357.3609301
1999,13,-117.082498,46.778764,1999_13,SW,,100,0,1,,,,,,,43.61,2.559,0.1895,42.32,0.43,0.08,260.9251969,252.0816929,368.8976378,348.1730514
1999,14,-117.0816322,46.77868863,1999_14,SW,,100,0,1,,,,,,,42.47,2.064,0.1558,42.04,0.31,0.06,265.9448819,256.2795276,422.9822835,399.4013896
1999,15,-117.081244,46.778707,1999_15,SW,,100,0,1,,,,,,,43.57,2.233,0.1599,43.11,0.33,0.06,265.6988189,255.8070866,439.4685039,409.7949896
1999,16,-117.080408,46.778826,1999_16,SW,,100,0,1,,,,,,,42.15,2.234,0.1706,43.92,0.44,0.08,345.8169291,332.7854331,510.1870079,472.4107526
1999,17,-117.07999,46.778797,1999_17,SW,,100,0,1,,,,,,,42.21,2.37,0.1672,42.95,0.45,0.09,398.5728346,381.4173228,617.8641732,590.6265415
1999,18,-117.0888801,46.77895174,1999_18,SW,,100,0,1,,,,,,,41.54,2.802,0.1964,43.38,0.53,0.12,286.7125984,275.9055118,411.8110236,380.9141623
1999,19,-117.0884663,46.77882662,1999_19,SW,,100,0,1,,,,,,,42.76,2.472,0.1893,43.24,0.49,0.1,208.5629921,201.3927165,337.4015748,322.580317
1999,20,-117.088064,46.778867,1999_20,SW,,100,0,1,,,,,,,42.22,2.465,0.1808,44.23,0.43,0.08,201.4271654,194.2027559,162.2047244,154.6659741
1999,21,-117.087646,46.778842,1999_21,SW,,100,0,1,,,,,,,42.16,2.226,0.1666,42.51,0.3,0.07,276.5748031,265.4478346,302.8051181,286.5028953
1999,22,-117.087228,46.779015,1999_22,SW,,100,0,1,,,,,,,43.03,2.31,0.169,44.2,0.32,0.05,168.3562992,162.4606299,261.515748,252.215757
1999,23,-117.086831,46.77900278,1999_23,SW,,100,0,1,,,,,,,43.26,2.338,0.1771,43.35,0.48,0.07,215.3051181,207.0570866,362.3523622,326.1901809
1999,24,-117.086392,46.779077,1999_24,SW,,100,0,1,,,,,,,43.09,2.604,0.1934,43.57,0.52,0.08,241.0925197,231.8307087,368.6515748,333.6729073
1999,25,-117.085974,46.779047,1999_25,SW,,100,0,1,,,,,,,40.87,2.104,0.1582,43.56,0.47,0.08,328.6417323,316.7519685,500.6397638,457.7404201
1999,26,-117.085556,46.778952,1999_26,SW,,100,0,1,,,,,,,41.43,2.513,0.179,43.68,0.4,0.08,348.8188976,336.003937,476.9192913,435.1017334
1999,27,-117.085117,46.77906282,1999_27,SW,,100,0,1,,,,,,,41.24,2.443,0.1813,44.15,0.4,0.08,340.7480315,328.4350394,470.1279528,432.2602338
1999,28,-117.08472,46.778918,1999_28,SW,,100,0,1,,,,,,,41.84,2.582,0.1789,44.07,0.43,0.07,291.6338583,280.9055118,442.4212598,408.3888552
1999,29,-117.084302,46.779007,1999_29,SW,,100,0,1,,,,,,,41.58,2.381,0.1731,43.8,0.46,0.07,289.3208661,278.1791339,442.1259843,408.1162932
1999,30,-117.083884,46.77896,1999_30,SW,,100,0,1,,,,,,,41.25,2.558,0.1805,44.57,0.5,0.07,282.726378,272.0521654,403.1988189,374.3989033
1999,31,-117.083466,46.779023,1999_31,SW,,100,0,1,,,,,,,42.24,2.563,0.1796,44.58,0.43,0.08,303.2480315,292.1653543,434.6456693,402.6044821
1999,32,-117.083048,46.778944,1999_32,SW,,100,0,1,,,,,,,41.45,2.329,0.1709,44.55,0.33,0.07,255.019685,246.0482283,334.7440945,311.2532808
1999,33,-117.08263,46.779013,1999_33,SW,,100,0,1,,,,,,,41.73,2.94,0.203,43.51,0.56,0.08,155.5610236,150.1427165,291.9291339,271.4369852
1999,34,-117.082212,46.77905,1999_34,SW,,100,0,1,,,,,,,41.68,2.201,0.1637,43.32,0.31,0.06,272.5885827,263.0954724,391.6830709,366.4131953
1999,35,-117.081794,46.778852,1999_35,SW,,100,0,1,,,,,,,41.63,2.318,0.177,44.28,0.35,0.07,192.0275591,184.6062992,396.6043307,368.8291089
1999,36,-117.0814058,46.77900737,1999_36,SW,,100,0,1,,,,,,,,,,,,,,,,
1999,37,-117.080958,46.778993,1999_37,SW,,100,0,0,,,,,,,,,,,,,,,,
1999,38,-117.08054,46.778849,1999_38,SW,,100,0,1,,,,,,,41.22,2.1,0.1706,42.84,0.33,0.09,337.992126,325.2608268,446.5059055,414.2236841
1999,39,-117.080122,46.779112,1999_39,SW,,100,0,0,,,,,,,,,,,,,,,,
1999,40,-117.079704,46.779083,1999_40,SW,,100,0,0,,,,,,,,,,,,,,,,
1999,41,-117.079286,46.779047,1999_41,SW,,100,0,1,,,,,,,41.01,2.359,0.1755,43.27,0.49,0.1,347.5393701,337.6082677,557.726378,515.4286028
1999,42,-117.0887062,46.77911338,1999_42,SW,,100,0,1,,,,,,,41.13,2.432,0.1752,43.27,0.42,0.09,358.7598425,347.7805118,474.6555118,450.976552
1999,43,-117.088318,46.779153,1999_43,SW,,100,0,1,,,,,,,41.41,2.383,0.1741,43.39,0.34,0.07,363.976378,351.4419291,478.9370079,425.1695513
1999,44,-117.0879,46.779128,1999_44,SW,,100,0,1,,,,,,,41.43,2.341,0.1765,43.75,0.41,0.08,236.4665354,227.8297244,345.3740157,328.3765511
1999,45,-117.0874635,46.77928833,1999_45,SW,,100,0,1,,,,,,,42.86,2.775,0.1937,43.77,0.44,0.07,190.3543307,182.9822835,307.7755906,299.5160761
1999,46,-117.087064,46.779278,1999_46,SW,,100,0,1,,,,,,,40.84,2.215,0.165,43.43,0.32,0.07,227.7559055,218.9074803,318.7992126,313.6034164
1999,47,-117.086646,46.779363,1999_47,SW,,100,0,1,,,,,,,41.68,2.503,0.1827,44.18,0.38,0.08,264.3700787,255.1673228,355.0688976,340.8829299
1999,48,-117.086228,46.779333,1999_48,SW,,100,0,1,,,,,,,42.01,2.282,0.1693,44.24,0.29,0.06,335.8759843,324.6948819,438.238189,421.7008988
1999,49,-117.08581,46.779238,1999_49,SW,,100,0,1,,,,,,,41.81,2.43,0.1786,46.56,0.44,0.1,390.9940945,377.992126,595.2755906,567.8357938
1999,50,-117.0853355,46.77932123,1999_50,SW,,100,0,1,,,,,,,41.55,2.562,0.1905,41.16,0.34,0.08,393.9468504,381.1466535,528.4940945,489.5892356
1999,51,-117.0849635,46.77919681,1999_51,SW,,100,0,1,,,,,,,41.34,2.39,0.1723,43.53,0.37,0.07,293.1102362,283.4891732,428.7893701,411.1493011
1999,52,-117.084556,46.779293,1999_52,SW,,100,0,1,,,,,,,41.83,2.468,0.1739,44.11,0.39,0.07,373.4744094,360.6299213,585.6791339,541.4494233
1999,53,-117.084138,46.779246,1999_53,SW,,100,0,1,,,,,,,49.12,2.233,0.2218,43.4,0.37,0.07,335.246063,323.2627953,500.0393701,472.3833121
1999,54,-117.08372,46.779309,1999_54,SW,,100,0,1,,,,,,,49.33,2.017,0.21,44.11,0.39,0.06,266.4862205,257.1653543,411.3188976,369.4403358
1999,55,-117.083302,46.77923,1999_55,SW,,100,0,1,,,,,,,49.32,2.219,0.2268,44.05,0.42,0.07,243.6023622,235.3198819,370.5708661,359.7376453
1999,56,-117.0829019,46.77931128,1999_56,SW,,100,0,1,,,,,,,45.89,2.178,0.2226,46.89,0.47,0.07,338.6318898,326.8602362,467.8149606,443.7851211
1999,57,-117.082466,46.779336,1999_57,SW,,100,0,1,,,,,,,43.58,2.438,0.2409,43.89,0.5,0.07,237.1555118,228.7942913,367.3228346,360.1903524
1999,58,-117.082048,46.779138,1999_58,SW,,100,0,1,,,,,,,43.54,2.311,0.2156,43.42,0.32,0.06,301.5255906,291.2647638,409.8425197,407.089259
1999,59,-117.0816002,46.77925244,1999_59,SW,,100,0,1,,,,,,,43.33,2.028,0.2038,42.79,0.36,0.06,167.765748,161.8257874,332.726378,325.6998582
1999,60,-117.081212,46.779279,1999_60,SW,,100,0,1,,,,,,,,,,,,,,,,
1999,61,-117.080794,46.779135,1999_61,SW,,100,0,0,,,,,,,,,,,,,,,,
1999,62,-117.0803999,46.77941847,1999_62,SW,,100,0,1,,,,,,,36.82,2.322,0.157,43.91,0.48,0.08,221.1122047,213.7401575,422.8838583,414.0635692
1999,63,-117.079958,46.779369,1999_63,SW,,100,0,1,,,,,,,43.92,2.497,0.1852,43.46,0.39,0.08,322.2933071,311.1614173,458.9566929,451.3914727
1999,64,-117.07954,46.779333,1999_64,SW,,100,0,1,,,,,,,42.38,2.659,0.1884,43.49,0.4,0.09,288.8287402,279.3208661,445.1771654,441.1979281
1999,65,-117.079122,46.779254,1999_65,SW,,100,0,1,,,,,,,41.98,2.353,0.1714,43.68,0.32,0.07,322.1948819,311.0433071,422.8346457,409.5271594
1999,66,-117.0787339,46.77928646,1999_66,SW,,100,0,1,,,,,,,42.11,2.538,0.1845,43.65,0.39,0.06,305.2165354,295.0246063,463.0905512,445.1959514
1999,67,-117.078286,46.779271,1999_67,SW,,100,0,1,,,,,,,41.88,2.569,0.1844,44.04,0.45,0.08,367.519685,355,528.9862205,510.073387
1999,68,-117.088231,46.779439,1999_68,SW,,100,0,1,,,,,,,41.7,2.456,0.1816,44.3,0.4,0.1,313.3366142,302.6919291,395.8661417,369.0925863
1999,69,-117.087813,46.779414,1999_69,SW,,100,0,1,,,,,,,42.9,2.351,0.1714,44.92,0.32,0.07,249.9507874,241.5994094,327.5098425,311.6259933
1999,70,-117.087395,46.779587,1999_70,SW,,100,0,1,,,,,,,42.72,2.183,0.1572,44.59,0.24,0.06,268.8484252,260.1181102,409.2519685,388.3450991
1999,71,-117.086977,46.779564,1999_71,SW,,100,0,1,,,,,,,42.65,2.551,0.1846,43.8,0.45,0.08,196.7027559,190.265748,252.0669291,247.9242362
1999,72,-117.086559,46.779649,1999_72,SW,,100,0,1,,,,,,,42.79,2.398,0.1863,42.89,0.35,0.09,260.7775591,251.9488189,341.6830709,322.982059
1999,73,-117.0861725,46.77963697,1999_73,SW,,100,0,1,,,,,,,42.16,2.526,0.176,43.34,0.37,0.09,298.5728346,288.6466535,342.5688976,321.7700717
1999,74,-117.0856916,46.77950963,1999_74,SW,,100,0,1,,,,,,,42.33,2.477,0.1814,43.01,0.34,0.09,380.8070866,368.8139764,479.4783465,456.5986743
1999,75,-117.085305,46.779642,1999_75,SW,,100,0,1,,,,,,,42.16,2.241,0.1669,43.29,0.35,0.06,306.496063,295.5610236,456.7913386,417.8667634
